Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,AMZN,AMZN,AMZN,AMZN,AMZN,,,
2022-12-16,2022,12,16,Friday,50,2022-50,88.27,89.35,86.73,87.86,146144100,-0.006670394101153776,91.19142857142857,99.7216
2022-12-19,2022,12,19,Monday,51,2022-51,87.51,87.63,84.51,84.92,83531500,-0.033462353983410575,90.6557142857143,99.12880000000001
2022-12-20,2022,12,20,Tuesday,51,2022-51,85.33,86.61,84.33,85.19,74348300,0.0031795134041781026,89.845,98.5592
2022-12-21,2022,12,21,Wednesday,51,2022-51,86.18,87.23,85.21,86.77,59267200,0.018546709195681466,89.22142857142856,98.05040000000001
2022-12-22,2022,12,22,Thursday,51,2022-51,85.52,85.68,82.25,83.79,81431300,-0.034343619255829294,88.48285714285714,97.4682
2022-12-23,2022,12,23,Friday,51,2022-51,83.25,85.78,82.93,85.25,57433700,0.01742450254827599,88.07142857142857,96.9226
2022-12-27,2022,12,27,Tuesday,52,2022-52,84.97,85.35,83.0,83.04,57284000,-0.025923742926365456,87.69928571428571,96.4454
2022-12-28,2022,12,28,Wednesday,52,2022-52,82.8,83.48,81.69,81.82,58228600,-0.01469172937442731,87.22500000000001,95.806
2022-12-29,2022,12,29,Thursday,52,2022-52,82.87,84.55,82.55,84.18,54995900,0.02884381103830358,86.78428571428572,95.16239999999999
2022-12-30,2022,12,30,Friday,52,2022-52,83.12,84.05,82.47,84.0,62401200,-0.002138278742257471,86.4207142857143,94.541
2023-01-03,2023,1,3,Tuesday,01,2023-01,85.46,86.96,84.21,85.82,76706000,0.021666663033621747,86.08285714285715,93.9524
2023-01-04,2023,1,4,Wednesday,01,2023-01,86.55,86.98,83.36,85.14,68885100,-0.007923564525679994,85.55785714285716,93.26880000000001
2023-01-05,2023,1,5,Thursday,01,2023-01,85.33,85.42,83.07,83.12,67930800,-0.023725589118479662,84.95357142857142,92.53479999999999
2023-01-06,2023,1,6,Friday,01,2023-01,83.03,86.4,81.43,86.08,83303400,0.035611152390083056,84.78428571428572,91.84440000000001
2023-01-09,2023,1,9,Monday,02,2023-02,87.46,89.48,87.08,87.36,65266100,0.01486987397850048,84.74857142857142,91.2784
2023-01-10,2023,1,10,Tuesday,02,2023-02,87.57,90.19,87.29,89.87,67756600,0.028731709234134817,85.10214285714285,90.8566
2023-01-11,2023,1,11,Wednesday,02,2023-02,90.93,95.26,90.93,95.09,103126200,0.058083825879343465,85.80928571428572,90.6902
2023-01-12,2023,1,12,Thursday,02,2023-02,96.93,97.19,93.5,95.27,85254800,0.0018929468094222024,86.41642857142858,90.5468
2023-01-13,2023,1,13,Friday,02,2023-02,94.18,98.37,94.12,98.12,85549400,0.029915043601747016,87.43999999999998,90.5734
2023-01-17,2023,1,17,Tuesday,03,2023-03,98.68,98.89,95.73,96.05,72755000,-0.02109661268732821,88.21142857142856,90.652
2023-01-18,2023,1,18,Wednesday,03,2023-03,97.25,99.32,95.38,95.46,79570400,-0.006142675153973931,89.09857142857142,90.7752
2023-01-19,2023,1,19,Thursday,03,2023-03,94.74,95.44,92.86,93.68,69002700,-0.01864654092151996,89.94571428571429,90.8292
2023-01-20,2023,1,20,Friday,03,2023-03,93.86,97.35,93.2,97.25,67481500,0.03810845093076898,90.87928571428571,90.96359999999999
2023-01-23,2023,1,23,Monday,04,2023-04,97.56,97.78,95.86,97.52,76501100,0.002776315095798454,91.845,91.1144
2023-01-24,2023,1,24,Tuesday,04,2023-04,96.93,98.09,96.0,96.32,66929500,-0.012305137300550828,92.595,91.318
2023-01-25,2023,1,25,Wednesday,04,2023-04,92.56,97.24,91.52,97.18,94261600,0.008928577793566816,93.455,91.329
2023-01-26,2023,1,26,Thursday,04,2023-04,98.24,99.49,96.92,99.22,68523600,0.02099198301215366,94.605,91.29759999999999
2023-01-27,2023,1,27,Friday,04,2023-04,99.53,103.49,99.53,102.24,87775600,0.03043737760442866,95.75928571428572,91.3726
2023-01-30,2023,1,30,Monday,05,2023-05,101.09,101.74,99.01,100.55,70691900,-0.01652968356145279,96.70142857142856,91.40480000000001
